,date,basinName,damName,activeVolume,id,damId
111,2025-11-18 00:00:00+03:00,Susurluk,ÇAYGÖREN,18.85,96983048,2
112,2025-11-18 00:00:00+03:00,Susurluk,MANYAS,59.23,96983065,3
113,2025-11-18 00:00:00+03:00,Susurluk,ÇINARCIK,117.31,96983033,4
114,2025-11-18 00:00:00+03:00,Susurluk,DEVECİKONAĞI,0.86,96983059,5
115,2025-11-18 00:00:00+03:00,Kuzey Ege,BAYRAMİÇ,0.0,96983068,6
116,2025-11-18 00:00:00+03:00,Büyük Menderes,ÇAPALI DİNAR KARAKUYU,3.7,96983073,10
117,2025-11-18 00:00:00+03:00,Büyük Menderes,CİNDERE,27.35,96983042,11
118,2025-11-18 00:00:00+03:00,Antalya,KARACAÖREN II,3.63,96983032,18
119,2025-11-18 00:00:00+03:00,Antalya,SORGUN,2.22,96983071,23
120,2025-11-18 00:00:00+03:00,Sakarya,YENİCE,0.59,96983036,25
121,2025-11-18 00:00:00+03:00,Sakarya,SARIYAR,481.25,96983030,26
122,2025-11-18 00:00:00+03:00,Batı Karadeniz,HASANLAR,13.99,96983027,28
123,2025-11-18 00:00:00+03:00,Batı Karadeniz,KÖPRÜBAŞI,39.19,96983055,29
124,2025-11-18 00:00:00+03:00,Yeşilırmak,KILIÇKAYA,475.4,96983024,31
125,2025-11-18 00:00:00+03:00,Yeşilırmak,H.UĞURLU,305.71,96983020,32
126,2025-11-18 00:00:00+03:00,Yeşilırmak,ALMUS,193.56,96983015,35
127,2025-11-18 00:00:00+03:00,Yeşilırmak,TEPEKIŞLA,8.77,96983086,38
128,2025-11-18 00:00:00+03:00,Kızılırmak,ALTINKAYA,877.83,96983017,41
129,2025-11-18 00:00:00+03:00,Kızılırmak,DERBENT,33.45,96983014,42
130,2025-11-18 00:00:00+03:00,Kızılırmak,KESİKKÖPRÜ,55.06,96983043,44
131,2025-11-18 00:00:00+03:00,Kızılırmak,KAPULUKAYA,72.94,96983023,45
132,2025-11-18 00:00:00+03:00,Kızılırmak,OBRUK,101.42,96983077,47
133,2025-11-18 00:00:00+03:00,Kızılırmak,BAYRAMHACILI HES,58.18,96983045,48
134,2025-11-18 00:00:00+03:00,Kızılırmak,ÇERMİKLER,6.06,96983067,50
135,2025-11-18 00:00:00+03:00,Doğu Akdeniz,BERDAN,40.25,96983013,53
136,2025-11-18 00:00:00+03:00,Doğu Akdeniz,GÖKÇELER,2.2,96983084,1001
137,2025-11-18 00:00:00+03:00,Seyhan,KARAKUZ,1.56,96983085,1002
138,2025-11-18 00:00:00+03:00,Doğu Akdeniz,PAMUKLUK,138.54,96983087,1101
139,2025-11-18 00:00:00+03:00,Van Gölü,MORGEDİK,51.39,96983088,1201
140,2025-11-18 00:00:00+03:00,Sakarya,GÜRSÖĞÜT-2,1.34,96983081,1701
141,2025-11-18 00:00:00+03:00,Antalya,OYMAPINAR,15.66,96983035,19
142,2025-11-18 00:00:00+03:00,Sakarya,GÖKÇEKAYA,68.11,96983018,24
