,date,basinName,damName,energyGeneration,damId
452,2025-11-18 00:00:00+03:00,Yeşilırmak,ÇAMLIGÖZE,1.17,33
453,2025-11-18 00:00:00+03:00,Yeşilırmak,GÖLOVA,0.22,36
454,2025-11-18 00:00:00+03:00,Kızılırmak,YAMULA,21.12,46
455,2025-11-18 00:00:00+03:00,Kızılırmak,BOYABAT,187.27,49
456,2025-11-18 00:00:00+03:00,Kızılırmak,GÜLDÜRCEK,0.62,51
457,2025-11-18 00:00:00+03:00,Ceyhan,ADATEPE,17.95,201
458,2025-11-18 00:00:00+03:00,Doğu Karadeniz,YAŞMAKLI,18.77,703
459,2025-11-18 00:00:00+03:00,Kızılırmak,KARGI KIZILIRMAK,0.59,2101
460,2025-11-18 00:00:00+03:00,Batı Akdeniz,ALAKIR,0.12,15
461,2025-11-18 00:00:00+03:00,Doğu Akdeniz,GEZENDE,9.74,52
