iter	Passed	Remaining
677	4085	7967
678	4091	7960
679	4097	7954
680	4103	7948
681	4109	7942
682	4124	7952
683	4131	7948
684	4138	7944
685	4145	7940
686	4152	7936
687	4159	7931
688	4165	7925
689	4171	7920
690	4178	7914
691	4184	7908
692	4190	7902
693	4196	7896
694	4202	7890
695	4217	7902
696	4224	7897
697	4231	7893
698	4238	7889
699	4245	7885
700	4252	7880
701	4259	7875
702	4266	7870
703	4272	7864
704	4278	7859
705	4284	7853
706	4291	7848
707	4297	7842
708	4303	7835
709	4309	7829
710	4316	7825
711	4322	7819
712	4328	7813
713	4334	7806
714	4340	7800
715	4345	7793
716	4351	7786
717	4357	7779
718	4362	7773
719	4368	7766
720	4373	7759
721	4379	7752
722	4385	7745
723	4390	7738
724	4396	7732
725	4402	7725
726	4408	7719
727	4416	7716
728	4422	7710
729	4428	7704
730	4434	7697
731	4440	7691
732	4445	7684
733	4451	7677
734	4457	7671
735	4462	7664
736	4468	7657
737	4473	7650
738	4479	7643
739	4484	7636
740	4490	7629
741	4496	7623
742	4502	7617
743	4507	7610
744	4516	7608
745	4522	7602
746	4528	7596
747	4534	7590
748	4540	7583
749	4546	7577
750	4552	7570
751	4557	7563
752	4563	7556
753	4568	7550
754	4574	7543
755	4580	7537
756	4586	7530
757	4591	7524
758	4597	7517
759	4603	7510
760	4610	7506
761	4616	7500
762	4622	7494
763	4628	7487
764	4634	7481
765	4639	7474
766	4646	7468
767	4651	7461
768	4656	7454
769	4662	7448
770	4668	7441
771	4674	7435
772	4680	7428
773	4685	7421
774	4690	7414
775	4696	7408
776	4702	7401
777	4709	7397
778	4715	7391
779	4721	7384
780	4726	7377
781	4732	7370
782	4737	7364
783	4743	7356
784	4749	7350
785	4754	7343
786	4760	7336
787	4766	7330
788	4771	7324
789	4777	7317
790	4783	7310
791	4788	7304
792	4794	7298
793	4800	7291
794	4805	7284
795	4811	7277
796	4817	7271
797	4822	7264
798	4828	7257
799	4833	7250
800	4839	7243
801	4844	7236
802	4850	7230
803	4855	7223
804	4861	7216
805	4866	7209
806	4872	7203
807	4877	7196
808	4883	7189
809	4889	7182
810	4894	7176
811	4900	7169
812	4905	7162
813	4911	7156
814	4917	7149
815	4922	7142
816	4928	7136
817	4933	7129
818	4939	7122
819	4945	7116
820	4950	7109
821	4956	7103
822	4962	7096
823	4967	7090
824	4973	7083
825	4979	7077
826	4985	7071
827	4991	7064
828	4996	7058
829	5002	7051
830	5008	7044
831	5013	7037
832	5018	7031
833	5024	7024
834	5030	7018
835	5035	7011
836	5041	7005
837	5047	6998
838	5052	6992
839	5058	6985
840	5063	6978
841	5069	6972
842	5075	6965
843	5080	6958
844	5085	6951
845	5091	6945
846	5097	6938
847	5103	6932
848	5108	6925
849	5114	6919
850	5120	6913
851	5126	6906
852	5131	6900
853	5137	6893
854	5142	6887
855	5148	6881
856	5154	6874
857	5159	6867
858	5165	6861
859	5171	6854
860	5176	6848
861	5182	6841
862	5187	6835
863	5193	6828
864	5199	6822
865	5205	6815
866	5210	6808
867	5215	6802
868	5221	6795
869	5227	6789
870	5232	6782
871	5238	6775
872	5243	6769
873	5248	6762
874	5254	6755
875	5260	6749
876	5265	6742
877	5271	6736
878	5277	6730
879	5282	6723
880	5288	6717
881	5294	6710
882	5299	6704
883	5305	6697
884	5310	6691
885	5316	6684
886	5322	6678
887	5328	6672
888	5333	6665
889	5339	6659
890	5345	6652
891	5350	6645
892	5355	6639
893	5361	6633
894	5367	6626
895	5373	6620
896	5378	6613
897	5383	6606
898	5389	6600
899	5397	6597
900	5403	6590
901	5409	6584
902	5414	6577
903	5420	6571
904	5425	6565
905	5431	6558
906	5437	6552
907	5443	6546
908	5448	6539
909	5454	6533
910	5460	6527
911	5466	6520
912	5471	6514
913	5477	6507
914	5489	6509
915	5498	6506
916	5505	6502
917	5513	6497
918	5520	6493
919	5526	6487
920	5533	6482
