,kontratTuru,kontratAdi,clearingQuantityAsk,clearingQuantityBid
166327,Saatlik,PH23031508,2075.4,2075.4
166331,Blok,PB23031509-01,696.5,696.5
166332,Saatlik,PH23031509,2237.8,2237.8
166335,Blok,PB23031510-01,790.7,790.7
166336,Blok,PB23031510-02,11.0,11.0
166337,Blok,PB23031510-04,3.0,3.0
166338,Saatlik,PH23031510,1429.9,1429.9
166343,Blok,PB23031511-01,1003.4,1003.4
166344,Blok,PB23031511-02,50.0,50.0
166345,Blok,PB23031511-13,4.0,4.0
166346,Saatlik,PH23031511,3098.8,3098.8
166351,Blok,PB23031512-01,839.3,839.3
166352,Blok,PB23031512-02,45.0,45.0
166353,Saatlik,PH23031512,2711.4,2711.4
166358,Blok,PB23031513-01,948.8,948.8
166359,Blok,PB23031513-03,0.2,0.2
166360,Blok,PB23031513-05,5.0,5.0
166361,Saatlik,PH23031513,2692.3,2692.3
166366,Blok,PB23031514-01,903.2,903.2
166367,Blok,PB23031514-03,3.0,3.0
166368,Blok,PB23031514-04,5.0,5.0
166369,Saatlik,PH23031514,2354.6,2354.6
166376,Blok,PB23031515-01,905.1,905.1
166377,Saatlik,PH23031515,2539.1,2539.1
166383,Blok,PB23031516-01,840.8,840.8
166384,Saatlik,PH23031516,2634.5,2634.5
166389,Blok,PB23031517-01,939.3,939.3
166390,Blok,PB23031517-04,3.0,3.0
166391,Saatlik,PH23031517,3615.4,3615.4
166395,Blok,PB23031518-01,790.9,790.9
166396,Blok,PB23031518-02,0.8,0.8
166397,Blok,PB23031518-05,50.0,50.0
166398,Saatlik,PH23031518,2435.3,2435.3
166404,Blok,PB23031519-01,816.0,816.0
166405,Blok,PB23031519-05,0.4,0.4
166406,Saatlik,PH23031519,1502.6,1502.6
166412,Blok,PB23031520-01,902.2,902.2
166413,Saatlik,PH23031520,2952.3,2952.3
166418,Blok,PB23031521-01,983.2,983.2
166419,Blok,PB23031521-03,3.0,3.0
166420,Saatlik,PH23031521,2320.1,2320.1
166426,Blok,PB23031522-01,1030.9,1030.9
166427,Saatlik,PH23031522,2886.7,2886.7
166432,Blok,PB23031523-01,1096.6,1096.6
166433,Saatlik,PH23031523,2587.7,2587.7
166434,Blok,PB23031600-01,792.2,792.2
166435,Blok,PB23031600-24,2.7,2.7
166436,Saatlik,PH23031600,1543.8,1543.8
166438,Blok,PB23031601-01,842.1,842.1
166439,Saatlik,PH23031601,1376.1,1376.1
166441,Blok,PB23031602-01,779.6,779.6
166442,Blok,PB23031602-02,50.0,50.0
166443,Saatlik,PH23031602,1136.7,1136.7
166446,Blok,PB23031603-01,833.2,833.2
166447,Saatlik,PH23031603,1215.6,1215.6
166449,Blok,PB23031604-01,889.0,889.0
166450,Saatlik,PH23031604,1118.9,1118.9
166452,Blok,PB23031605-01,858.8,858.8
166453,Blok,PB23031605-06,50.0,50.0
166454,Saatlik,PH23031605,1925.3,1925.3
166457,Blok,PB23031606-01,906.6,906.6
166458,Blok,PB23031606-03,0.1,0.1
166459,Saatlik,PH23031606,1356.6,1356.6
166463,Blok,PB23031607-01,778.3,778.3
166464,Saatlik,PH23031607,1947.4,1947.4
166468,Blok,PB23031608-01,810.8,810.8
166469,Blok,PB23031608-02,0.8,0.8
166470,Saatlik,PH23031608,1632.8,1632.8
166474,Blok,PB23031609-01,795.4,795.4
166475,Saatlik,PH23031609,1665.3,1665.3
166478,Blok,PB23031610-01,760.0,760.0
