,kontratTuru,kontratAdi,clearingQuantityAsk,clearingQuantityBid
24141,Blok,PB20081603-05,1.2,1.2
24142,Saatlik,PH20081603,78.7,78.7
24147,Blok,PB20081604-01,285.4,285.4
24148,Saatlik,PH20081604,73.8,73.8
24153,Blok,PB20081605-01,260.2,260.2
24154,Saatlik,PH20081605,70.1,70.1
24158,Blok,PB20081606-01,222.7,222.7
24159,Blok,PB20081606-02,14.0,14.0
24160,Blok,PB20081606-14,0.7,0.7
24161,Saatlik,PH20081606,141.5,141.5
24167,Blok,PB20081607-01,243.4,243.4
24168,Saatlik,PH20081607,148.2,148.2
24172,Blok,PB20081608-01,230.4,230.4
24173,Blok,PB20081608-02,31.0,31.0
24174,Blok,PB20081608-05,9.0,9.0
24175,Blok,PB20081608-16,0.8,0.8
24176,Saatlik,PH20081608,52.0,52.0
24183,Blok,PB20081609-01,231.1,231.1
24184,Saatlik,PH20081609,121.4,121.4
24189,Blok,PB20081610-01,269.1,269.1
24190,Saatlik,PH20081610,141.4,141.4
24195,Blok,PB20081611-01,266.2,266.2
24196,Blok,PB20081611-02,10.0,10.0
24197,Blok,PB20081611-13,10.0,10.0
24198,Saatlik,PH20081611,199.0,199.0
24205,Blok,PB20081612-01,352.7,352.7
24206,Blok,PB20081612-04,2.0,2.0
24207,Blok,PB20081612-12,0.4,0.4
24208,Saatlik,PH20081612,188.1,188.1
24215,Blok,PB20081613-01,288.7,288.7
24216,Blok,PB20081613-05,10.0,10.0
24217,Saatlik,PH20081613,199.9,199.9
24225,Blok,PB20081614-01,331.8,331.8
24226,Blok,PB20081614-02,6.0,6.0
24227,Blok,PB20081614-03,9.0,9.0
24228,Saatlik,PH20081614,212.2,212.2
24238,Blok,PB20081615-01,299.2,299.2
24239,Saatlik,PH20081615,288.8,288.8
24247,Blok,PB20081616-01,280.1,280.1
24248,Blok,PB20081616-02,10.0,10.0
24249,Blok,PB20081616-03,2.0,2.0
24250,Saatlik,PH20081616,286.6,286.6
24259,Blok,PB20081617-01,347.1,347.1
24260,Saatlik,PH20081617,208.0,208.0
24267,Blok,PB20081618-01,240.6,240.6
24268,Blok,PB20081618-06,36.0,36.0
24269,Saatlik,PH20081618,275.4,275.4
24276,Blok,PB20081619-01,250.8,250.8
24277,Saatlik,PH20081619,294.0,294.0
24283,Blok,PB20081620-01,306.7,306.7
24284,Blok,PB20081620-03,25.0,25.0
24285,Saatlik,PH20081620,307.6,307.6
24292,Blok,PB20081621-01,223.2,223.2
24293,Saatlik,PH20081621,342.4,342.4
24300,Blok,PB20081622-01,293.9,293.9
24301,Blok,PB20081622-02,31.0,31.0
24302,Saatlik,PH20081622,385.2,385.2
24309,Blok,PB20081623-01,292.4,292.4
24310,Saatlik,PH20081623,339.1,339.1
24311,Blok,PB20081700-01,175.1,175.1
24312,Blok,PB20081700-08,7.0,7.0
24313,Saatlik,PH20081700,86.3,86.3
24315,Blok,PB20081701-01,121.5,121.5
24316,Blok,PB20081701-08,12.0,12.0
24317,Saatlik,PH20081701,98.0,98.0
24320,Blok,PB20081702-01,166.4,166.4
24321,Saatlik,PH20081702,118.2,118.2
24324,Blok,PB20081703-01,207.7,207.7
24325,Saatlik,PH20081703,139.3,139.3
24328,Blok,PB20081704-01,236.3,236.3
24329,Saatlik,PH20081704,135.4,135.4
24332,Blok,PB20081705-01,196.7,196.7
24333,Saatlik,PH20081705,143.3,143.3
24336,Blok,PB20081706-01,179.5,179.5
24337,Blok,PB20081706-14,0.7,0.7
24338,Saatlik,PH20081706,173.4,173.4
24342,Blok,PB20081707-01,188.6,188.6
24343,Saatlik,PH20081707,275.0,275.0
24346,Blok,PB20081708-01,191.0,191.0
24347,Saatlik,PH20081708,133.7,133.7
24349,Blok,PB20081709-01,205.2,205.2
24350,Blok,PB20081709-02,3.5,3.5
24351,Saatlik,PH20081709,153.6,153.6
24354,Blok,PB20081710-01,207.4,207.4
24355,Blok,PB20081710-14,10.0,10.0
24356,Saatlik,PH20081710,280.9,280.9
24359,Blok,PB20081711-01,165.0,165.0
24360,Saatlik,PH20081711,427.1,427.1
24363,Blok,PB20081712-01,190.0,190.0
24364,Saatlik,PH20081712,363.3,363.3
24367,Blok,PB20081713-01,223.7,223.7
24368,Saatlik,PH20081713,322.2,322.2
24371,Blok,PB20081714-01,193.2,193.2
24372,Saatlik,PH20081714,395.2,395.2
24375,Blok,PB20081715-01,133.0,133.0
24376,Saatlik,PH20081715,574.6,574.6
24379,Blok,PB20081716-01,129.9,129.9
24380,Saatlik,PH20081716,592.6,592.6
24383,Blok,PB20081717-01,169.3,169.3
24384,Saatlik,PH20081717,476.3,476.3
24387,Blok,PB20081718-01,175.2,175.2
24388,Saatlik,PH20081718,528.3,528.3
24391,Blok,PB20081719-01,204.0,204.0
24392,Blok,PB20081719-02,2.5,2.5
24393,Saatlik,PH20081719,479.2,479.2
24396,Blok,PB20081720-01,207.2,207.2
24397,Blok,PB20081720-02,4.5,4.5
24398,Saatlik,PH20081720,426.0,426.0
24401,Blok,PB20081721-01,227.8,227.8
24402,Blok,PB20081721-03,11.0,11.0
24403,Saatlik,PH20081721,372.4,372.4
24406,Blok,PB20081722-01,221.8,221.8
24407,Blok,PB20081722-02,5.5,5.5
24408,Saatlik,PH20081722,344.2,344.2
24412,Blok,PB20081723-01,275.1,275.1
24413,Saatlik,PH20081723,328.3,328.3
24414,Blok,PB20081800-01,247.7,247.7
24415,Blok,PB20081800-08,2.5,2.5
24416,Blok,PB20081800-24,0.1,0.1
24417,Saatlik,PH20081800,246.4,246.4
24420,Blok,PB20081801-01,268.9,268.9
24421,Saatlik,PH20081801,164.3,164.3
24424,Blok,PB20081802-01,244.6,244.6
24425,Saatlik,PH20081802,106.5,106.5
24428,Blok,PB20081803-01,191.6,191.6
24429,Saatlik,PH20081803,79.5,79.5
24432,Blok,PB20081804-01,209.3,209.3
24433,Saatlik,PH20081804,90.7,90.7
24436,Blok,PB20081805-01,214.2,214.2
24437,Saatlik,PH20081805,177.6,177.6
24440,Blok,PB20081806-01,192.6,192.6
24441,Blok,PB20081806-12,0.7,0.7
24442,Saatlik,PH20081806,80.0,80.0
24446,Blok,PB20081807-01,216.5,216.5
24447,Saatlik,PH20081807,69.8,69.8
24450,Blok,PB20081808-01,245.3,245.3
24451,Blok,PB20081808-09,6.5,6.5
24452,Saatlik,PH20081808,63.8,63.8
24456,Blok,PB20081809-01,214.7,214.7
24457,Blok,PB20081809-02,15.0,15.0
24458,Blok,PB20081809-06,6.0,6.0
24459,Saatlik,PH20081809,99.4,99.4
24465,Blok,PB20081810-01,211.9,211.9
24466,Blok,PB20081810-05,7.0,7.0
24467,Saatlik,PH20081810,173.8,173.8
24473,Blok,PB20081811-01,216.6,216.6
24474,Blok,PB20081811-04,12.0,12.0
24475,Blok,PB20081811-13,10.0,10.0
24476,Saatlik,PH20081811,204.4,204.4
24484,Blok,PB20081812-01,187.4,187.4
24485,Blok,PB20081812-12,0.6,0.6
24486,Saatlik,PH20081812,183.0,183.0
24495,Blok,PB20081813-01,198.4,198.4
24496,Blok,PB20081813-02,35.0,35.0
24497,Saatlik,PH20081813,214.0,214.0
24507,Blok,PB20081814-01,213.0,213.0
24508,Saatlik,PH20081814,154.2,154.2
24514,Blok,PB20081815-01,220.4,220.4
24515,Blok,PB20081815-02,2.5,2.5
24516,Blok,PB20081815-03,35.0,35.0
24517,Saatlik,PH20081815,170.8,170.8
24525,Blok,PB20081816-01,254.6,254.6
24526,Saatlik,PH20081816,209.1,209.1
24532,Blok,PB20081817-01,275.7,275.7
24533,Blok,PB20081817-02,7.0,7.0
24534,Blok,PB20081817-07,4.0,4.0
24535,Saatlik,PH20081817,289.2,289.2
24541,Blok,PB20081818-01,269.5,269.5
24542,Blok,PB20081818-03,39.0,39.0
24543,Saatlik,PH20081818,356.1,356.1
24549,Blok,PB20081819-01,248.5,248.5
24550,Blok,PB20081819-02,45.0,45.0
24551,Saatlik,PH20081819,271.4,271.4
24558,Blok,PB20081820-01,230.9,230.9
24559,Saatlik,PH20081820,318.1,318.1
24564,Blok,PB20081821-01,282.8,282.8
24565,Blok,PB20081821-03,40.0,40.0
24566,Saatlik,PH20081821,241.4,241.4
24572,Blok,PB20081822-01,341.8,341.8
24573,Saatlik,PH20081822,281.9,281.9
24579,Blok,PB20081823-01,335.7,335.7
24580,Saatlik,PH20081823,243.0,243.0
24581,Blok,PB20081900-01,169.1,169.1
24582,Blok,PB20081900-08,2.0,2.0
24583,Blok,PB20081900-24,0.1,0.1
24584,Saatlik,PH20081900,62.4,62.4
24587,Blok,PB20081901-01,187.4,187.4
24588,Saatlik,PH20081901,53.9,53.9
24591,Blok,PB20081902-01,171.2,171.2
24592,Saatlik,PH20081902,71.8,71.8
24595,Blok,PB20081903-01,142.5,142.5
24596,Saatlik,PH20081903,105.6,105.6
24599,Blok,PB20081904-01,168.9,168.9
24600,Blok,PB20081904-16,0.7,0.7
24601,Saatlik,PH20081904,164.3,164.3
24605,Blok,PB20081905-01,142.7,142.7
24606,Saatlik,PH20081905,79.6,79.6
24610,Blok,PB20081906-01,127.5,127.5
24611,Saatlik,PH20081906,71.4,71.4
24615,Blok,PB20081907-01,140.4,140.4
24616,Saatlik,PH20081907,45.4,45.4
24619,Blok,PB20081908-01,123.8,123.8
24620,Blok,PB20081908-02,3.0,3.0
24621,Saatlik,PH20081908,73.9,73.9
24625,Blok,PB20081909-01,127.3,127.3
24626,Saatlik,PH20081909,119.2,119.2
24629,Blok,PB20081910-01,111.0,111.0
24630,Blok,PB20081910-07,3.5,3.5
24631,Saatlik,PH20081910,236.3,236.3
24635,Blok,PB20081911-01,119.3,119.3
24636,Saatlik,PH20081911,287.0,287.0
24640,Blok,PB20081912-01,129.7,129.7
24641,Blok,PB20081912-04,0.7,0.7
24642,Saatlik,PH20081912,371.6,371.6
24647,Blok,PB20081913-01,118.6,118.6
24648,Blok,PB20081913-02,2.0,2.0
24649,Saatlik,PH20081913,374.0,374.0
24655,Blok,PB20081914-01,146.1,146.1
24656,Saatlik,PH20081914,331.6,331.6
24661,Blok,PB20081915-01,135.0,135.0
24662,Saatlik,PH20081915,414.3,414.3
24666,Blok,PB20081916-01,172.8,172.8
24667,Blok,PB20081916-06,1.4,1.4
24668,Blok,PB20081916-08,3.3,3.3
24669,Saatlik,PH20081916,375.6,375.6
24674,Blok,PB20081917-01,168.2,168.2
24675,Blok,PB20081917-02,1.5,1.5
24676,Blok,PB20081917-05,3.0,3.0
24677,Saatlik,PH20081917,355.9,355.9
24684,Blok,PB20081918-01,144.4,144.4
24685,Saatlik,PH20081918,385.8,385.8
24691,Blok,PB20081919-01,202.7,202.7
24692,Blok,PB20081919-02,6.7,6.7
24693,Saatlik,PH20081919,365.7,365.7
24699,Blok,PB20081920-01,168.9,168.9
24700,Saatlik,PH20081920,422.6,422.6
24705,Blok,PB20081921-01,201.8,201.8
24706,Saatlik,PH20081921,411.4,411.4
24709,Blok,PB20081922-01,144.1,144.1
24710,Blok,PB20081922-02,2.0,2.0
24711,Saatlik,PH20081922,405.2,405.2
24715,Blok,PB20081923-01,203.2,203.2
24716,Saatlik,PH20081923,399.7,399.7
24717,Blok,PB20082000-01,133.1,133.1
24718,Blok,PB20082000-24,0.1,0.1
24719,Saatlik,PH20082000,110.0,110.0
24721,Blok,PB20082001-01,129.1,129.1
24722,Blok,PB20082001-02,2.9,2.9
24723,Saatlik,PH20082001,51.1,51.1
24726,Blok,PB20082002-01,146.2,146.2
24727,Saatlik,PH20082002,38.8,38.8
24729,Blok,PB20082003-01,201.0,201.0
24730,Blok,PB20082003-03,2.8,2.8
24731,Saatlik,PH20082003,34.4,34.4
24734,Blok,PB20082004-01,192.7,192.7
24735,Blok,PB20082004-08,0.7,0.7
24736,Saatlik,PH20082004,56.4,56.4
24740,Blok,PB20082005-01,185.4,185.4
24741,Blok,PB20082005-02,20.0,20.0
24742,Saatlik,PH20082005,144.0,144.0
24746,Blok,PB20082006-01,235.5,235.5
24747,Saatlik,PH20082006,139.0,139.0
24750,Blok,PB20082007-01,318.2,318.2
24751,Saatlik,PH20082007,162.3,162.3
24754,Blok,PB20082008-01,273.7,273.7
24755,Saatlik,PH20082008,138.1,138.1
24758,Blok,PB20082009-01,257.4,257.4
24759,Blok,PB20082009-03,4.0,4.0
24760,Saatlik,PH20082009,210.8,210.8
24764,Blok,PB20082010-01,279.7,279.7
24765,Blok,PB20082010-03,7.9,7.9
24766,Saatlik,PH20082010,245.6,245.6
24771,Blok,PB20082011-01,294.3,294.3
24772,Saatlik,PH20082011,473.2,473.2
24775,Blok,PB20082012-01,194.6,194.6
24776,Saatlik,PH20082012,464.6,464.6
24778,Blok,PB20082013-01,281.4,281.4
24779,Saatlik,PH20082013,477.2,477.2
24781,Blok,PB20082014-01,365.4,365.4
24782,Blok,PB20082014-02,8.0,8.0
24783,Saatlik,PH20082014,493.4,493.4
24786,Blok,PB20082015-01,293.0,293.0
24787,Saatlik,PH20082015,419.3,419.3
24789,Blok,PB20082016-01,223.8,223.8
24790,Blok,PB20082016-02,5.0,5.0
24791,Blok,PB20082016-04,0.7,0.7
24792,Saatlik,PH20082016,357.6,357.6
24796,Blok,PB20082017-01,220.3,220.3
24797,Saatlik,PH20082017,336.5,336.5
24800,Blok,PB20082018-01,245.5,245.5
24801,Blok,PB20082018-03,5.0,5.0
24802,Saatlik,PH20082018,293.8,293.8
24806,Blok,PB20082019-01,195.5,195.5
24807,Blok,PB20082019-03,4.9,4.9
24808,Saatlik,PH20082019,308.5,308.5
24812,Blok,PB20082020-01,220.6,220.6
24813,Blok,PB20082020-02,1.0,1.0
24814,Saatlik,PH20082020,368.8,368.8
24818,Blok,PB20082021-01,277.8,277.8
24819,Blok,PB20082021-03,2.0,2.0
24820,Saatlik,PH20082021,309.5,309.5
24823,Blok,PB20082022-01,238.5,238.5
24824,Blok,PB20082022-02,5.4,5.4
24825,Saatlik,PH20082022,281.3,281.3
24829,Blok,PB20082023-01,281.6,281.6
24830,Saatlik,PH20082023,277.6,277.6
24831,Blok,PB20082100-01,171.4,171.4
24832,Blok,PB20082100-24,2.1,2.1
24833,Saatlik,PH20082100,130.6,130.6
24835,Blok,PB20082101-01,253.3,253.3
24836,Saatlik,PH20082101,147.6,147.6
24838,Blok,PB20082102-01,274.6,274.6
24839,Saatlik,PH20082102,145.2,145.2
24841,Blok,PB20082103-01,294.0,294.0
24842,Saatlik,PH20082103,106.2,106.2
24844,Blok,PB20082104-01,352.6,352.6
24845,Blok,PB20082104-08,0.7,0.7
24846,Saatlik,PH20082104,83.4,83.4
24849,Blok,PB20082105-01,330.9,330.9
24850,Saatlik,PH20082105,159.5,159.5
24853,Blok,PB20082106-01,279.1,279.1
24854,Saatlik,PH20082106,170.6,170.6
24857,Blok,PB20082107-01,379.8,379.8
24858,Saatlik,PH20082107,148.9,148.9
24861,Blok,PB20082108-01,445.0,445.0
24862,Saatlik,PH20082108,149.9,149.9
24865,Blok,PB20082109-01,360.4,360.4
24866,Blok,PB20082109-12,2.5,2.5
24867,Saatlik,PH20082109,178.0,178.0
24871,Blok,PB20082110-01,385.4,385.4
24872,Blok,PB20082110-04,3.0,3.0
24873,Saatlik,PH20082110,258.2,258.2
24878,Blok,PB20082111-01,385.9,385.9
24879,Saatlik,PH20082111,501.8,501.8
24883,Blok,PB20082112-01,482.5,482.5
24884,Blok,PB20082112-02,2.0,2.0
24885,Blok,PB20082112-04,3.3,3.3
24886,Saatlik,PH20082112,540.5,540.5
24892,Blok,PB20082113-01,382.5,382.5
24893,Saatlik,PH20082113,514.5,514.5
24897,Blok,PB20082114-01,258.1,258.1
24898,Blok,PB20082114-07,4.0,4.0
24899,Saatlik,PH20082114,649.7,649.7
24904,Blok,PB20082115-01,309.2,309.2
24905,Blok,PB20082115-03,10.1,10.1
24906,Blok,PB20082115-08,14.0,14.0
24907,Saatlik,PH20082115,616.7,616.7
24913,Blok,PB20082116-01,324.6,324.6
24914,Blok,PB20082116-02,2.0,2.0
24915,Blok,PB20082116-06,0.7,0.7
24916,Saatlik,PH20082116,599.3,599.3
24924,Blok,PB20082117-01,238.9,238.9
24925,Blok,PB20082117-04,5.0,5.0
24926,Saatlik,PH20082117,537.3,537.3
24933,Blok,PB20082118-01,321.6,321.6
24934,Blok,PB20082118-02,2.0,2.0
24935,Blok,PB20082118-03,2.0,2.0
24936,Saatlik,PH20082118,472.0,472.0
24945,Blok,PB20082119-01,292.9,292.9
24946,Blok,PB20082119-02,2.0,2.0
24947,Saatlik,PH20082119,507.8,507.8
24956,Blok,PB20082120-01,305.0,305.0
24957,Saatlik,PH20082120,433.0,433.0
24961,Blok,PB20082121-01,345.8,345.8
24962,Saatlik,PH20082121,419.3,419.3
24965,Blok,PB20082122-01,326.8,326.8
24966,Saatlik,PH20082122,299.0,299.0
24968,Blok,PB20082123-01,348.3,348.3
24969,Saatlik,PH20082123,388.7,388.7
24970,Blok,PB20082200-01,197.3,197.3
24971,Blok,PB20082200-24,0.1,0.1
24972,Saatlik,PH20082200,203.4,203.4
24974,Blok,PB20082201-01,219.9,219.9
24975,Saatlik,PH20082201,362.3,362.3
24977,Blok,PB20082202-01,300.6,300.6
24978,Saatlik,PH20082202,373.9,373.9
24980,Blok,PB20082203-01,354.8,354.8
24981,Saatlik,PH20082203,265.2,265.2
24983,Blok,PB20082204-01,287.0,287.0
24984,Blok,PB20082204-08,0.7,0.7
24985,Saatlik,PH20082204,251.5,251.5
24988,Blok,PB20082205-01,259.5,259.5
24989,Saatlik,PH20082205,329.0,329.0
24992,Blok,PB20082206-01,334.9,334.9
24993,Saatlik,PH20082206,180.2,180.2
24996,Blok,PB20082207-01,335.1,335.1
24997,Saatlik,PH20082207,275.5,275.5
25000,Blok,PB20082208-01,298.6,298.6
25001,Saatlik,PH20082208,224.4,224.4
25004,Blok,PB20082209-01,301.7,301.7
25005,Saatlik,PH20082209,274.3,274.3
25008,Blok,PB20082210-01,212.5,212.5
25009,Blok,PB20082210-02,21.0,21.0
25010,Blok,PB20082210-05,10.0,10.0
25011,Saatlik,PH20082210,291.9,291.9
25016,Blok,PB20082211-01,338.2,338.2
25017,Saatlik,PH20082211,365.8,365.8
25020,Blok,PB20082212-01,243.7,243.7
25021,Saatlik,PH20082212,481.1,481.1
25024,Blok,PB20082213-01,332.7,332.7
25025,Saatlik,PH20082213,441.8,441.8
25028,Blok,PB20082214-01,325.7,325.7
25029,Saatlik,PH20082214,474.3,474.3
25031,Blok,PB20082215-01,290.8,290.8
25032,Blok,PB20082215-02,14.6,14.6
25033,Blok,PB20082215-06,3.0,3.0
25034,Saatlik,PH20082215,533.3,533.3
25038,Blok,PB20082216-01,239.3,239.3
25039,Blok,PB20082216-05,3.0,3.0
25040,Blok,PB20082216-06,0.7,0.7
25041,Saatlik,PH20082216,486.0,486.0
25046,Blok,PB20082217-01,264.1,264.1
25047,Blok,PB20082217-02,14.6,14.6
25048,Saatlik,PH20082217,475.9,475.9
25054,Blok,PB20082218-01,231.2,231.2
25055,Saatlik,PH20082218,616.7,616.7
25060,Blok,PB20082219-01,250.8,250.8
25061,Blok,PB20082219-02,9.0,9.0
25062,Blok,PB20082219-05,21.0,21.0
25063,Saatlik,PH20082219,801.2,801.2
25070,Blok,PB20082220-01,267.1,267.1
25071,Blok,PB20082220-04,6.0,6.0
25072,Saatlik,PH20082220,973.9,973.9
25077,Blok,PB20082221-01,346.6,346.6
25078,Blok,PB20082221-03,22.0,22.0
25079,Saatlik,PH20082221,1118.5,1118.5
25084,Blok,PB20082222-01,453.4,453.4
25085,Saatlik,PH20082222,999.0,999.0
25090,Blok,PB20082223-01,438.9,438.9
25091,Saatlik,PH20082223,1008.4,1008.4
25092,Blok,PB20082300-01,355.1,355.1
25093,Blok,PB20082300-05,10.0,10.0
25094,Blok,PB20082300-24,0.1,0.1
25095,Saatlik,PH20082300,493.1,493.1
25098,Blok,PB20082301-01,360.0,360.0
25099,Blok,PB20082301-05,21.0,21.0
25100,Saatlik,PH20082301,491.4,491.4
25104,Blok,PB20082302-01,355.7,355.7
25105,Saatlik,PH20082302,495.1,495.1
25109,Blok,PB20082303-01,386.7,386.7
25110,Blok,PB20082303-02,20.0,20.0
25111,Blok,PB20082303-09,0.7,0.7
25112,Saatlik,PH20082303,428.3,428.3
25118,Blok,PB20082304-01,384.7,384.7
25119,Saatlik,PH20082304,461.3,461.3
25123,Blok,PB20082305-01,433.7,433.7
25124,Saatlik,PH20082305,351.4,351.4
25127,Blok,PB20082306-01,267.4,267.4
25128,Blok,PB20082306-04,10.0,10.0
25129,Saatlik,PH20082306,365.8,365.8
25133,Blok,PB20082307-01,304.2,304.2
25134,Saatlik,PH20082307,330.2,330.2
25138,Blok,PB20082308-01,337.0,337.0
25139,Saatlik,PH20082308,413.5,413.5
25143,Blok,PB20082309-01,396.8,396.8
25144,Saatlik,PH20082309,620.2,620.2
25147,Blok,PB20082310-01,427.0,427.0
25148,Saatlik,PH20082310,487.8,487.8
25151,Blok,PB20082311-01,399.0,399.0
25152,Blok,PB20082311-13,2.0,2.0
25153,Saatlik,PH20082311,434.2,434.2
25156,Blok,PB20082312-01,382.8,382.8
25157,Saatlik,PH20082312,462.3,462.3
25160,Blok,PB20082313-01,367.2,367.2
25161,Blok,PB20082313-04,41.0,41.0
25162,Saatlik,PH20082313,487.5,487.5
25166,Blok,PB20082314-01,344.8,344.8
25167,Saatlik,PH20082314,533.2,533.2
25171,Blok,PB20082315-01,328.2,328.2
25172,Saatlik,PH20082315,514.4,514.4
25176,Blok,PB20082316-01,279.7,279.7
25177,Blok,PB20082316-05,5.0,5.0
25178,Blok,PB20082316-06,0.7,0.7
25179,Saatlik,PH20082316,505.1,505.1
25184,Blok,PB20082317-01,233.2,233.2
25185,Blok,PB20082317-07,41.0,41.0
25186,Saatlik,PH20082317,529.9,529.9
25192,Blok,PB20082318-01,280.1,280.1
25193,Saatlik,PH20082318,617.6,617.6
25199,Blok,PB20082319-01,261.4,261.4
25200,Saatlik,PH20082319,543.6,543.6
25206,Blok,PB20082320-01,283.8,283.8
25207,Saatlik,PH20082320,543.7,543.7
25212,Blok,PB20082321-01,290.3,290.3
25213,Saatlik,PH20082321,659.7,659.7
25217,Blok,PB20082322-01,289.0,289.0
25218,Saatlik,PH20082322,556.9,556.9
25222,Blok,PB20082323-01,325.3,325.3
25223,Saatlik,PH20082323,586.4,586.4
25224,Blok,PB20082400-01,249.1,249.1
25225,Blok,PB20082400-02,20.0,20.0
25226,Blok,PB20082400-07,2.0,2.0
25227,Blok,PB20082400-24,0.1,0.1
25228,Saatlik,PH20082400,306.1,306.1
25232,Blok,PB20082401-01,257.1,257.1
25233,Saatlik,PH20082401,279.3,279.3
25236,Blok,PB20082402-01,267.9,267.9
25237,Saatlik,PH20082402,241.2,241.2
25240,Blok,PB20082403-01,239.0,239.0
25241,Blok,PB20082403-02,32.0,32.0
25242,Blok,PB20082403-09,0.7,0.7
25243,Saatlik,PH20082403,385.9,385.9
25248,Blok,PB20082404-01,233.0,233.0
25249,Saatlik,PH20082404,346.6,346.6
25253,Blok,PB20082405-01,268.7,268.7
25254,Saatlik,PH20082405,354.7,354.7
25258,Blok,PB20082406-01,234.3,234.3
25259,Saatlik,PH20082406,314.9,314.9
25262,Blok,PB20082407-01,248.9,248.9
25263,Saatlik,PH20082407,233.9,233.9
25266,Blok,PB20082408-01,223.8,223.8
25267,Saatlik,PH20082408,248.4,248.4
25270,Blok,PB20082409-01,223.8,223.8
25271,Saatlik,PH20082409,278.6,278.6
25274,Blok,PB20082410-01,199.4,199.4
25275,Saatlik,PH20082410,389.0,389.0
25278,Blok,PB20082411-01,195.7,195.7
25279,Saatlik,PH20082411,518.4,518.4
25281,Blok,PB20082412-01,212.9,212.9
25282,Blok,PB20082412-02,31.0,31.0
25283,Saatlik,PH20082412,630.7,630.7
25286,Blok,PB20082413-01,198.9,198.9
25287,Saatlik,PH20082413,828.7,828.7
25289,Blok,PB20082414-01,222.5,222.5
25290,Saatlik,PH20082414,953.1,953.1
25292,Blok,PB20082415-01,203.6,203.6
25293,Saatlik,PH20082415,894.0,894.0
25295,Blok,PB20082416-01,213.6,213.6
25296,Blok,PB20082416-02,14.0,14.0
25297,Blok,PB20082416-06,0.7,0.7
25298,Saatlik,PH20082416,1017.4,1017.4
25302,Blok,PB20082417-01,211.4,211.4
25303,Blok,PB20082417-02,3.0,3.0
25304,Saatlik,PH20082417,834.6,834.6
25308,Blok,PB20082418-01,195.0,195.0
25309,Saatlik,PH20082418,848.2,848.2
25312,Blok,PB20082419-01,237.5,237.5
25313,Saatlik,PH20082419,888.1,888.1
25316,Blok,PB20082420-01,267.0,267.0
25317,Saatlik,PH20082420,869.5,869.5
25320,Blok,PB20082421-01,200.4,200.4
25321,Saatlik,PH20082421,600.9,600.9
25323,Blok,PB20082422-01,212.2,212.2
25324,Saatlik,PH20082422,617.3,617.3
25326,Blok,PB20082423-01,219.1,219.1
25327,Saatlik,PH20082423,563.4,563.4
25328,Blok,PB20082500-01,242.4,242.4
25329,Blok,PB20082500-24,0.1,0.1
25330,Saatlik,PH20082500,116.0,116.0
25332,Blok,PB20082501-01,251.8,251.8
25333,Saatlik,PH20082501,111.5,111.5
25335,Blok,PB20082502-01,235.1,235.1
25336,Saatlik,PH20082502,166.6,166.6
25338,Blok,PB20082503-01,185.3,185.3
25339,Blok,PB20082503-09,0.7,0.7
25340,Saatlik,PH20082503,135.8,135.8
25343,Blok,PB20082504-01,157.3,157.3
25344,Saatlik,PH20082504,99.7,99.7
25347,Blok,PB20082505-01,203.0,203.0
25348,Saatlik,PH20082505,99.5,99.5
25351,Blok,PB20082506-01,134.7,134.7
25352,Saatlik,PH20082506,88.3,88.3
25355,Blok,PB20082507-01,183.3,183.3
25356,Saatlik,PH20082507,101.8,101.8
25359,Blok,PB20082508-01,146.9,146.9
25360,Saatlik,PH20082508,151.2,151.2
25363,Blok,PB20082509-01,114.9,114.9
25364,Saatlik,PH20082509,140.2,140.2
25367,Blok,PB20082510-01,131.3,131.3
25368,Saatlik,PH20082510,191.6,191.6
25371,Blok,PB20082511-01,197.0,197.0
25372,Saatlik,PH20082511,358.3,358.3
25374,Blok,PB20082512-01,176.9,176.9
25375,Saatlik,PH20082512,482.6,482.6
25377,Blok,PB20082513-01,195.7,195.7
25378,Blok,PB20082513-02,2.0,2.0
25379,Blok,PB20082513-08,1.0,1.0
25380,Saatlik,PH20082513,400.6,400.6
25384,Blok,PB20082514-01,181.2,181.2
25385,Saatlik,PH20082514,526.8,526.8
25388,Blok,PB20082515-01,153.8,153.8
25389,Blok,PB20082515-02,2.5,2.5
25390,Saatlik,PH20082515,513.2,513.2
25394,Blok,PB20082516-01,162.4,162.4
25395,Blok,PB20082516-06,0.7,0.7
25396,Saatlik,PH20082516,537.4,537.4
25400,Blok,PB20082517-01,175.6,175.6
25401,Blok,PB20082517-03,3.5,3.5
25402,Saatlik,PH20082517,484.7,484.7
25407,Blok,PB20082518-01,224.2,224.2
25408,Saatlik,PH20082518,428.7,428.7
25413,Blok,PB20082519-01,216.6,216.6
25414,Blok,PB20082519-02,10.7,10.7
25415,Saatlik,PH20082519,385.0,385.0
25420,Blok,PB20082520-01,219.8,219.8
25421,Blok,PB20082520-02,3.5,3.5
25422,Saatlik,PH20082520,476.9,476.9
25426,Blok,PB20082521-01,189.1,189.1
25427,Saatlik,PH20082521,412.0,412.0
25429,Blok,PB20082522-01,242.7,242.7
25430,Blok,PB20082522-02,3.5,3.5
25431,Saatlik,PH20082522,356.4,356.4
25434,Blok,PB20082523-01,247.1,247.1
25435,Saatlik,PH20082523,357.2,357.2
25436,Blok,PB20082600-01,246.2,246.2
25437,Blok,PB20082600-24,0.1,0.1
