Type,Plant / Project name,Capacity (MW),Status,Start year,Latitude,Longitude,Location accuracy,City,GEM.Wiki URL
solar,Büyükalan solar farm,23.4,operating,2020,37.0173,31.7398,exact,Büyükalan,https://www.gem.wiki/Büyükalan_solar_farm
solar,Cagirgan solar project,6.1,operating,2014,37.346,29.005,approximate,Çağırgan,https://www.gem.wiki/Cagirgan_solar_project
solar,Caglayanlar 2 Hybrid solar project,4.6,operating,,39.3303,34.1266,approximate,Kirsehir,https://www.gem.wiki/Caglayanlar_2_Hybrid_solar_project
solar,Cakirman Regulatoru Ve Hybrid solar project,7.1,operating,,39.6073,39.2013,approximate,Erzincan,https://www.gem.wiki/Cakirman_Regulatoru_Ve_Hybrid_solar_project
solar,Callica solar project,4.9,operating,2016,37.488,30.018,approximate,,https://www.gem.wiki/Callica_solar_project
solar,Canakkale Depo Gazindan Elektrik Uretim Tesisi solar project,1.2,operating,,40.055,26.9278,approximate,Canakkale,https://www.gem.wiki/Canakkale_Depo_Gazindan_Elektrik_Uretim_Tesisi_solar_project
solar,Cayalti Reg. Ve Hybrid solar project,11,operating,,41.2503,31.839,approximate,Zonguldak,https://www.gem.wiki/Cayalti_Reg._Ve_Hybrid_solar_project
solar,Cerkezkoy-Tekirdag solar project,1.2,operating,,40.9913,27.3676,approximate,Tekirdag,https://www.gem.wiki/Cerkezkoy-Tekirdag_solar_project
solar,Ceylani Biyogaz solar project,3.2,operating,,37.8727,32.4924,approximate,Konya,https://www.gem.wiki/Ceylani_Biyogaz_solar_project
solar,Ceylanpinar Biyokutle Enerji Santrali solar project,2.8,operating,,37.1596,38.7919,approximate,Sanliurfa,https://www.gem.wiki/Ceylanpinar_Biyokutle_Enerji_Santrali_solar_project
solar,Cifteler solar farm,4.6,operating,2017,39.7761,30.5208,approximate,,https://www.gem.wiki/Cifteler_solar_farm
solar,Ciftlik solar project,6.3,operating,2016,39.0444,36.0676,approximate,Çiftlik,https://www.gem.wiki/Ciftlik_solar_project
solar,Cihanbeyli solar project,9.8,operating,2018,38.656,32.807,approximate,,https://www.gem.wiki/Cihanbeyli_solar_project
solar,Cine A solar project,5,operating,2017,37.717,28.012,approximate,,https://www.gem.wiki/Cine_A_solar_project
solar,Cine solar project,10.7,operating,2017,37.701,28.003,approximate,Altinova,https://www.gem.wiki/Cine_solar_project
solar,Cingilli solar farm,26,operating,2018,37.771,34.357,exact,,https://www.gem.wiki/Cingilli_solar_farm
